Region,Code,Crime_name,Year,Value
Sicilia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2011,0
Sicilia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2012,0
Sicilia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2013,0
Sicilia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2014,0
Sicilia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2015,0
Sicilia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2016,0
Sicilia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2017,0
Sicilia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2018,0
Sicilia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2019,0
Sicilia,ATTEMPHOM,tentati omicidi,2010,141
Sicilia,ATTEMPHOM,tentati omicidi,2011,138
Sicilia,ATTEMPHOM,tentati omicidi,2012,141
Sicilia,ATTEMPHOM,tentati omicidi,2013,144
Sicilia,ATTEMPHOM,tentati omicidi,2014,136
Sicilia,ATTEMPHOM,tentati omicidi,2015,145
Sicilia,ATTEMPHOM,tentati omicidi,2016,141
Sicilia,ATTEMPHOM,tentati omicidi,2017,126
Sicilia,ATTEMPHOM,tentati omicidi,2018,110
Sicilia,ATTEMPHOM,tentati omicidi,2019,101
Sicilia,INFANTHOM,infanticidi,2010,0
Sicilia,INFANTHOM,infanticidi,2011,0
Sicilia,INFANTHOM,infanticidi,2012,0
Sicilia,INFANTHOM,infanticidi,2013,0
Sicilia,INFANTHOM,infanticidi,2014,0
Sicilia,INFANTHOM,infanticidi,2015,0
Sicilia,INFANTHOM,infanticidi,2016,0
Sicilia,INFANTHOM,infanticidi,2017,0
Sicilia,INFANTHOM,infanticidi,2018,0
Sicilia,INFANTHOM,infanticidi,2019,0
Sicilia,MANSHOM,omicidi preterintenzionali,2010,5
Sicilia,MANSHOM,omicidi preterintenzionali,2011,5
Sicilia,MANSHOM,omicidi preterintenzionali,2012,5
Sicilia,MANSHOM,omicidi preterintenzionali,2013,5
Sicilia,MANSHOM,omicidi preterintenzionali,2014,4
Sicilia,MANSHOM,omicidi preterintenzionali,2015,2
Sicilia,MANSHOM,omicidi preterintenzionali,2016,2
Sicilia,MANSHOM,omicidi preterintenzionali,2017,6
Sicilia,MANSHOM,omicidi preterintenzionali,2018,5
Sicilia,MANSHOM,omicidi preterintenzionali,2019,5
Sicilia,UNINTHOM,omicidi colposi,2010,108
Sicilia,UNINTHOM,omicidi colposi,2011,121
Sicilia,UNINTHOM,omicidi colposi,2012,110
Sicilia,UNINTHOM,omicidi colposi,2013,113
Sicilia,UNINTHOM,omicidi colposi,2014,150
Sicilia,UNINTHOM,omicidi colposi,2015,176
Sicilia,UNINTHOM,omicidi colposi,2016,132
Sicilia,UNINTHOM,omicidi colposi,2017,149
Sicilia,UNINTHOM,omicidi colposi,2018,169
Sicilia,UNINTHOM,omicidi colposi,2019,154
Sicilia,ROADHOM,omicidi colposi da incidente stradale,2010,60
Sicilia,ROADHOM,omicidi colposi da incidente stradale,2011,64
Sicilia,ROADHOM,omicidi colposi da incidente stradale,2012,45
Sicilia,ROADHOM,omicidi colposi da incidente stradale,2013,47
Sicilia,ROADHOM,omicidi colposi da incidente stradale,2014,49
Sicilia,ROADHOM,omicidi colposi da incidente stradale,2015,47
Sicilia,ROADHOM,omicidi colposi da incidente stradale,2016,63
Sicilia,ROADHOM,omicidi colposi da incidente stradale,2017,51
Sicilia,ROADHOM,omicidi colposi da incidente stradale,2018,65
Sicilia,ROADHOM,omicidi colposi da incidente stradale,2019,68
Sicilia,BLOWS,percosse,2010,965
